engine_id,dataset_id,health_index,risk_score,risk_state,rul_cycles,ci_lower,ci_upper,ci_std,model_name,rmse
34,FD001,0.2597123433273486,0.7402876566726514,Critical,3.698652753342952,0.8390024250685317,6.558303081617373,2.8596503282744203,Monotonic HistGradientBoostingRegressor,18.459221643626265
82,FD001,0.28006358747748183,0.7199364125225182,Critical,4.425594952370807,1.7322884343524811,7.118901470389133,2.693306518018326,Monotonic HistGradientBoostingRegressor,18.459221643626265
42,FD001,0.28646048447842665,0.7135395155215734,Critical,4.056683505007001,0.8889713968759607,7.224395613138041,3.1677121081310404,Monotonic HistGradientBoostingRegressor,18.459221643626265
81,FD001,0.2891673656306107,0.7108326343693894,Critical,6.207108036127507,3.74339133163407,8.670824740620944,2.463716704493437,Monotonic HistGradientBoostingRegressor,18.459221643626265
35,FD001,0.30141978873629444,0.6985802112637056,Critical,13.952772215085993,4.974737909070004,22.93080652110198,8.978034306015989,Monotonic HistGradientBoostingRegressor,18.459221643626265
49,FD001,0.30365099574573196,0.696349004254268,Critical,7.7113939850641025,5.523358336359996,9.899429633768209,2.1880356487041066,Monotonic HistGradientBoostingRegressor,18.459221643626265
68,FD001,0.3338738435617734,0.6661261564382266,Critical,11.63399895601014,6.259289661545927,17.008708250474353,5.374709294464213,Monotonic HistGradientBoostingRegressor,18.459221643626265
76,FD001,0.33654269780095963,0.6634573021990404,Critical,10.023654612495458,4.332512372136321,15.714796852854594,5.691142240359136,Monotonic HistGradientBoostingRegressor,18.459221643626265
20,FD001,0.34296428869276135,0.6570357113072387,Critical,9.915674682541095,7.453967957522861,12.37738140755933,2.4617067250182343,Monotonic HistGradientBoostingRegressor,18.459221643626265
56,FD001,0.349319026926277,0.6506809730737231,Critical,20.33030530814892,11.932859267834042,28.727751348463798,8.397446040314877,Monotonic HistGradientBoostingRegressor,18.459221643626265
31,FD001,0.3610748684325057,0.6389251315674943,Critical,18.012749379900054,13.030822042011634,22.994676717788472,4.98192733788842,Monotonic HistGradientBoostingRegressor,18.459221643626265
92,FD001,0.36443324963390583,0.6355667503660942,Critical,22.382206763483754,14.45971346907195,30.30470005789556,7.922493294411804,Monotonic HistGradientBoostingRegressor,18.459221643626265
40,FD001,0.3771495429622366,0.6228504570377634,Degrading,25.204438840516598,16.429138275863558,33.97973940516964,8.775300564653042,Monotonic HistGradientBoostingRegressor,18.459221643626265
66,FD001,0.3922462010148021,0.6077537989851979,Critical,25.783423668923422,12.392247469649513,39.17459986819733,13.39117619927391,Monotonic HistGradientBoostingRegressor,18.459221643626265
91,FD001,0.39380309098061633,0.6061969090193837,Degrading,33.53975569254924,25.623828709561085,41.4556826755374,7.915926982988157,Monotonic HistGradientBoostingRegressor,18.459221643626265
36,FD001,0.40037606547931115,0.5996239345206889,Critical,29.75278369391803,21.739195234307694,37.766372153528366,8.013588459610338,Monotonic HistGradientBoostingRegressor,18.459221643626265
77,FD001,0.4069293991168018,0.5930706008831982,Degrading,22.67632421066398,17.23191423344882,28.120734187879144,5.4444099772151615,Monotonic HistGradientBoostingRegressor,18.459221643626265
61,FD001,0.4274146962987767,0.5725853037012233,Critical,19.65229180129574,13.621669942813813,25.682913659777665,6.030621858481926,Monotonic HistGradientBoostingRegressor,18.459221643626265
64,FD001,0.4386671926735713,0.5613328073264288,Critical,21.077136151093654,17.88509918388917,24.269173118298138,3.1920369672044844,Monotonic HistGradientBoostingRegressor,18.459221643626265
58,FD001,0.4444561938319932,0.5555438061680068,Critical,37.017161030367944,26.2108480606266,47.823474000109286,10.806312969741345,Monotonic HistGradientBoostingRegressor,18.459221643626265
100,FD001,0.45526780417067125,0.5447321958293287,Critical,22.311740852882348,16.595352132719942,28.028129573044755,5.716388720162407,Monotonic HistGradientBoostingRegressor,18.459221643626265
90,FD001,0.4713065185196855,0.5286934814803145,Degrading,28.06865151986175,16.4962706066702,39.6410324330533,11.572380913191546,Monotonic HistGradientBoostingRegressor,18.459221643626265
18,FD001,0.48236171523755833,0.5176382847624417,Critical,23.24065239758778,16.793366146768758,29.687938648406803,6.4472862508190225,Monotonic HistGradientBoostingRegressor,18.459221643626265
84,FD001,0.48578473328274946,0.5142152667172506,Degrading,54.614011635484395,40.8556287363207,68.3723945346481,13.758382899163694,Monotonic HistGradientBoostingRegressor,18.459221643626265
41,FD001,0.4878013841936415,0.5121986158063585,Critical,22.52212627277657,14.04111807799218,31.00313446756096,8.48100819478439,Monotonic HistGradientBoostingRegressor,18.459221643626265
43,FD001,0.4949272753367896,0.5050727246632104,Degrading,46.277451809019944,35.888135180867735,56.66676843717215,10.389316628152208,Monotonic HistGradientBoostingRegressor,18.459221643626265
53,FD001,0.5021276307819331,0.4978723692180669,Degrading,40.53688873043104,19.457014442380835,61.61676301848124,21.079874288050203,Monotonic HistGradientBoostingRegressor,18.459221643626265
